Component,Version,CVE,Matching type,CVSS Version,CVSS,CVE publication date,Is Affected,Reason Type,Remarks,Confirmer,Object,Object compilation date,Object full path,Obj_Sha1,,,,
apache http server,2.4.6,CVE-2016-5387,Exact match,3.0,8.0,2016-07-19 00:00:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip_/CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img_/_dev_sda2/usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache http server,2.4.6,CVE-2009-3095,Exact match,2.0,7.0,2009-09-08 00:00:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip_/CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img_/_dev_sda2/usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache http server,2.4.6,CVE-2020-1927,Exact match,3.0,6.0,2020-04-02 00:00:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip_/CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img_/_dev_sda2/usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache http server,2.4.6,CVE-2019-0220,Exact match,3.0,5.0,2019-06-11 00:00:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip_/CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img_/_dev_sda2/usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache http server,2.4.6,CVE-2020-1934,Exact match,3.0,5.0,2020-04-01 00:00:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip_/CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img_/_dev_sda2/usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache http server,2.4.6,CVE-2001-0131,Exact match,2.0,1.0,2001-03-12 00:00:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip_/CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img_/_dev_sda2/usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache http server,2.4.6,CVE-2017-3169,Exact match,3.0,9.0,2017-06-20 00:00:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip_/CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img_/_dev_sda2/usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache http server,2.4.6,CVE-2017-7668,Exact match,3.0,9.0,2017-06-20 00:00:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip_/CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img_/_dev_sda2/usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache http server,2.4.6,CVE-2018-11763,Exact match,3.0,5.0,2018-09-25 00:00:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip_/CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img_/_dev_sda2/usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache http server,2.4.6,CVE-2001-1556,Exact match,2.0,5.0,2001-12-31 00:00:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip_/CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img_/_dev_sda2/usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
